snr_db,in_view_1_0,in_view_0_5,in_view_0_25,view_1_0_label,view_0_5_label,view_0_25_label,view_0_25_eligible_modes,BPSK_BER,BPSK_SE,BPSK_CI_high,QPSK_BER,QPSK_SE,QPSK_CI_high,16QAM_BER,16QAM_SE,16QAM_CI_high,64QAM_BER,64QAM_SE,64QAM_CI_high
0.0,True,True,True,BPSK,BPSK,BPSK,None,0.1463198939732143,0.0003111832710384098,0.1469298131844496,0.21122446986607143,0.0003036426685360979,0.2118196094964022,0.3157350283668155,0.0002353564961948267,0.31619632709935735,0.37397976500496033,0.00016733223856041487,0.37430773619253876
2.0,True,True,True,BPSK,BPSK,BPSK,None,0.10845708240327381,0.00029621325214087874,0.10903766037746994,0.16766497628348215,0.00031220746548306025,0.16827690291582895,0.27772867024739584,0.00026131578473652926,0.2782408491854794,0.34550111219618057,0.00019437839668817145,0.3458820938536894
4.0,True,True,True,BPSK,BPSK,BPSK,None,0.07717391183035714,0.00027052554310551106,0.07770414189484394,0.12692300734747025,0.00030643812808338447,0.1275236260785137,0.23711697126116071,0.00028172433659791676,0.23766915096089264,0.3129390756758433,0.00022132475174150705,0.31337287218925663
6.0,True,True,True,BPSK,BPSK,BPSK,None,0.05341476469494048,0.0002374295182347867,0.05388012655068066,0.09256354631696428,0.0002858253243233125,0.09312376395263798,0.19646700730096725,0.00029283013373725104,0.19704095436309227,0.2779982142857143,0.00024390628546365822,0.27847627060522306
8.0,True,True,True,BPSK,BPSK,BPSK,None,0.0355260974702381,0.00020086173655341788,0.035919786473882796,0.06441744559151785,0.0002538014489554352,0.06491489643147051,0.15637942940848215,0.00029238558236276103,0.15695250514991316,0.24090279327876984,0.00025881139777465616,0.24141006361840817
10.0,True,True,True,BPSK,BPSK,BPSK,None,0.02343812779017857,0.0001665787354742608,0.02376462211170812,0.043856270926339286,0.00021883729607354181,0.044285192026643425,0.11980535016741072,0.00028253663935542196,0.12035912198054734,0.20356581333705356,0.00026794787041789893,0.20409099116307264
12.0,True,True,True,BPSK,BPSK,BPSK,None,0.015193833705357143,0.0001361488031065047,0.015460685359445892,0.02912841564360119,0.0001835459379570913,0.02948816568199709,0.08810827985491071,0.0002621231012419385,0.0886220411333449,0.16698167937748015,0.0002693299146226902,0.16750956601014064
14.0,True,True,True,BPSK,BPSK,BPSK,BPSK,0.009495958891369047,0.0001085955455019078,0.009708806160552787,0.018587672061011903,0.00014932182649299424,0.01888034284093817,0.06183442150297619,0.00023185447624212463,0.06228885627641075,0.1320052044580853,0.0002607759714326975,0.1325163253620934
16.0,True,True,True,BPSK,BPSK,BPSK,BPSK,0.006195252046130952,8.80502671142875e-05,0.006367830569674956,0.01217582775297619,0.00012262348302675519,0.01241616977970863,0.04233540969122024,0.00020191704602140636,0.0427311671014222,0.10041089177207341,0.00024832959622587725,0.10089761778067613
16.5,False,True,True,N/A,BPSK,BPSK,BPSK,0.005450358072916666,8.347510634874251e-05,0.0056139692813602015,0.010773663039434524,0.00011566752976881424,0.0110003713977814,0.038258599562872024,0.00019293129751992493,0.03863674490601108,0.09322577427455357,0.00024298811119727833,0.09370203097250024
