snr_db,gt_mode,gt_bps,gt_ber,gt_reliable,dt_mode,dt_bps,dt_ber,dt_reliable,dt_matches_gt,fixed_robust_mode,fixed_robust_bps,fixed_robust_ber,fixed_robust_reliable,fixed_high_tp_mode,fixed_high_tp_bps,fixed_high_tp_ber,fixed_high_tp_reliable
0.0,BPSK,1,0.1463198939732143,False,BPSK,1,0.1463198939732143,False,True,BPSK,1,0.1463198939732143,False,64QAM,6,0.37397976500496033,False
2.0,BPSK,1,0.10845708240327381,False,BPSK,1,0.10845708240327381,False,True,BPSK,1,0.10845708240327381,False,64QAM,6,0.34550111219618057,False
4.0,BPSK,1,0.07717391183035714,False,BPSK,1,0.07717391183035714,False,True,BPSK,1,0.07717391183035714,False,64QAM,6,0.3129390756758433,False
6.0,BPSK,1,0.05341476469494048,False,BPSK,1,0.05341476469494048,False,True,BPSK,1,0.05341476469494048,False,64QAM,6,0.2779982142857143,False
8.0,BPSK,1,0.0355260974702381,False,BPSK,1,0.0355260974702381,False,True,BPSK,1,0.0355260974702381,False,64QAM,6,0.24090279327876984,False
10.0,BPSK,1,0.02343812779017857,False,BPSK,1,0.02343812779017857,False,True,BPSK,1,0.02343812779017857,False,64QAM,6,0.20356581333705356,False
12.0,BPSK,1,0.015193833705357143,False,BPSK,1,0.015193833705357143,False,True,BPSK,1,0.015193833705357143,False,64QAM,6,0.16698167937748015,False
14.0,BPSK,1,0.009495958891369047,True,BPSK,1,0.009495958891369047,True,True,BPSK,1,0.009495958891369047,True,64QAM,6,0.1320052044580853,False
16.0,BPSK,1,0.006195252046130952,True,BPSK,1,0.006195252046130952,True,True,BPSK,1,0.006195252046130952,True,64QAM,6,0.10041089177207341,False
16.5,BPSK,1,0.005450358072916666,True,BPSK,1,0.005450358072916666,True,True,BPSK,1,0.005450358072916666,True,64QAM,6,0.09322577427455357,False
16.75,BPSK,1,0.00523369140625,True,BPSK,1,0.00523369140625,True,True,BPSK,1,0.00523369140625,True,64QAM,6,0.08952924572172619,False
17.0,QPSK,2,0.009664318266369048,True,QPSK,2,0.009664318266369048,True,True,BPSK,1,0.004842150297619047,True,64QAM,6,0.08690956256200397,False
17.5,QPSK,2,0.008682721819196429,True,QPSK,2,0.008682721819196429,True,True,BPSK,1,0.004387276785714286,True,64QAM,6,0.07980719788566468,False
18.0,QPSK,2,0.00798158714657738,True,QPSK,2,0.00798158714657738,True,True,BPSK,1,0.004110579427083334,True,64QAM,6,0.07403287527901786,False
20.0,QPSK,2,0.004813174293154762,True,QPSK,2,0.004813174293154762,True,True,BPSK,1,0.002417680431547619,True,64QAM,6,0.051675915333581346,False
22.0,QPSK,2,0.0030794061569940478,True,QPSK,2,0.0030794061569940478,True,True,BPSK,1,0.0015433407738095239,True,64QAM,6,0.03563529730902778,False
22.5,QPSK,2,0.002729366629464286,True,QPSK,2,0.002729366629464286,True,True,BPSK,1,0.001365415736607143,True,64QAM,6,0.03232224779885913,False
22.75,QPSK,2,0.0026950172061011904,True,QPSK,2,0.0026950172061011904,True,True,BPSK,1,0.0013678292410714285,True,64QAM,6,0.030597901940724207,False
23.0,16QAM,4,0.009555690801711309,True,16QAM,4,0.009555690801711309,True,True,BPSK,1,0.0012512044270833332,True,64QAM,6,0.02917837844122024,False
23.5,16QAM,4,0.008572347005208333,True,16QAM,4,0.008572347005208333,True,True,BPSK,1,0.0011339425223214285,True,64QAM,6,0.026368095858134922,False
24.0,16QAM,4,0.007642466517857143,True,16QAM,4,0.007642466517857143,True,True,BPSK,1,0.0010026925223214286,True,64QAM,6,0.023718138485863096,False
26.0,16QAM,4,0.0049675944010416665,True,16QAM,4,0.0049675944010416665,True,True,BPSK,1,0.0006545805431547619,True,64QAM,6,0.015684299820188492,False
28.0,16QAM,4,0.0031084251767113094,True,16QAM,4,0.0031084251767113094,True,True,BPSK,1,0.00039258277529761906,True,64QAM,6,0.010204465835813492,False
28.25,64QAM,6,0.009578149026537698,True,64QAM,6,0.009578149026537698,True,True,BPSK,1,0.00040340401785714285,True,64QAM,6,0.009578149026537698,True
28.5,64QAM,6,0.009073757595486112,True,64QAM,6,0.009073757595486112,True,True,BPSK,1,0.0003404389880952381,True,64QAM,6,0.009073757595486112,True
29.0,64QAM,6,0.00802096199156746,True,64QAM,6,0.00802096199156746,True,True,BPSK,1,0.0002886253720238095,True,64QAM,6,0.00802096199156746,True
29.5,64QAM,6,0.00740755363343254,True,64QAM,6,0.00740755363343254,True,True,BPSK,1,0.0003053059895833333,True,64QAM,6,0.00740755363343254,True
30.0,64QAM,6,0.006529299975198413,True,64QAM,6,0.006529299975198413,True,True,BPSK,1,0.00027787388392857144,True,64QAM,6,0.006529299975198413,True
