snr_db,BPSK_BER,QPSK_BER,16QAM_BER,64QAM_BER,BPSK_SE,QPSK_SE,16QAM_SE,64QAM_SE,BPSK_CI_low,BPSK_CI_high,QPSK_CI_low,QPSK_CI_high,16QAM_CI_low,16QAM_CI_high,64QAM_CI_low,64QAM_CI_high,BPSK_eligible,QPSK_eligible,16QAM_eligible,64QAM_eligible,best_mode,best_mode_bps,fallback_used,selection_reason,reliability_uncertain,label_uncertain,boundary_uncertain,num_blocks
0.0,0.1463198939732143,0.21122446986607143,0.3157350283668155,0.37397976500496033,0.0,0.0,0.0,0.0,0.1463198939732143,0.1463198939732143,0.21122446986607143,0.21122446986607143,0.3157350283668155,0.3157350283668155,0.37397976500496033,0.37397976500496033,False,False,False,False,BPSK,1,True,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100,False,False,False,140000
2.0,0.10845708240327381,0.16766497628348215,0.27772867024739584,0.34550111219618057,0.0,0.0,0.0,0.0,0.10845708240327381,0.10845708240327381,0.16766497628348215,0.16766497628348215,0.27772867024739584,0.27772867024739584,0.34550111219618057,0.34550111219618057,False,False,False,False,BPSK,1,True,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100,False,False,False,140000
4.0,0.07717391183035714,0.12692300734747025,0.23711697126116071,0.3129390756758433,0.0,0.0,0.0,0.0,0.07717391183035714,0.07717391183035714,0.12692300734747025,0.12692300734747025,0.23711697126116071,0.23711697126116071,0.3129390756758433,0.3129390756758433,False,False,False,False,BPSK,1,True,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100,False,False,False,140000
6.0,0.05341476469494048,0.09256354631696428,0.19646700730096725,0.2779982142857143,0.0,0.0,0.0,0.0,0.05341476469494048,0.05341476469494048,0.09256354631696428,0.09256354631696428,0.19646700730096725,0.19646700730096725,0.2779982142857143,0.2779982142857143,False,False,False,False,BPSK,1,True,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100,False,False,False,140000
8.0,0.0355260974702381,0.06441744559151785,0.15637942940848215,0.24090279327876984,0.0,0.0,0.0,0.0,0.0355260974702381,0.0355260974702381,0.06441744559151785,0.06441744559151785,0.15637942940848215,0.15637942940848215,0.24090279327876984,0.24090279327876984,False,False,False,False,BPSK,1,True,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100,False,False,False,140000
10.0,0.02343812779017857,0.043856270926339286,0.11980535016741072,0.20356581333705356,0.0,0.0,0.0,0.0,0.02343812779017857,0.02343812779017857,0.043856270926339286,0.043856270926339286,0.11980535016741072,0.11980535016741072,0.20356581333705356,0.20356581333705356,False,False,False,False,BPSK,1,True,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100,False,False,False,140000
12.0,0.015193833705357143,0.02912841564360119,0.08810827985491071,0.16698167937748015,0.0,0.0,0.0,0.0,0.015193833705357143,0.015193833705357143,0.02912841564360119,0.02912841564360119,0.08810827985491071,0.08810827985491071,0.16698167937748015,0.16698167937748015,False,False,False,False,BPSK,1,True,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100,False,False,False,140000
14.0,0.009495958891369047,0.018587672061011903,0.06183442150297619,0.1320052044580853,0.0,0.0,0.0,0.0,0.009495958891369047,0.009495958891369047,0.018587672061011903,0.018587672061011903,0.06183442150297619,0.06183442150297619,0.1320052044580853,0.1320052044580853,True,False,False,False,BPSK,1,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,False,False,False,140000
16.0,0.006195252046130952,0.01217582775297619,0.04233540969122024,0.10041089177207341,0.0,0.0,0.0,0.0,0.006195252046130952,0.006195252046130952,0.01217582775297619,0.01217582775297619,0.04233540969122024,0.04233540969122024,0.10041089177207341,0.10041089177207341,True,False,False,False,BPSK,1,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,False,False,False,140000
16.5,0.005450358072916666,0.010773663039434524,0.038258599562872024,0.09322577427455357,0.0,0.0,0.0,0.0,0.005450358072916666,0.005450358072916666,0.010773663039434524,0.010773663039434524,0.038258599562872024,0.038258599562872024,0.09322577427455357,0.09322577427455357,True,False,False,False,BPSK,1,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,False,False,False,140000
16.75,0.00523369140625,0.010231112816220238,0.03624802013578869,0.08952924572172619,0.0,0.0,0.0,0.0,0.00523369140625,0.00523369140625,0.010231112816220238,0.010231112816220238,0.03624802013578869,0.03624802013578869,0.08952924572172619,0.08952924572172619,True,False,False,False,BPSK,1,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,False,False,False,140000
17.0,0.004842150297619047,0.009664318266369048,0.03487371768043155,0.08690956256200397,0.0,0.0,0.0,0.0,0.004842150297619047,0.004842150297619047,0.009664318266369048,0.009664318266369048,0.03487371768043155,0.03487371768043155,0.08690956256200397,0.08690956256200397,True,True,False,False,QPSK,2,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,False,False,False,140000
17.5,0.004387276785714286,0.008682721819196429,0.03129705752418155,0.07980719788566468,0.0,0.0,0.0,0.0,0.004387276785714286,0.004387276785714286,0.008682721819196429,0.008682721819196429,0.03129705752418155,0.03129705752418155,0.07980719788566468,0.07980719788566468,True,True,False,False,QPSK,2,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,False,False,False,140000
18.0,0.004110579427083334,0.00798158714657738,0.02847270972842262,0.07403287527901786,0.0,0.0,0.0,0.0,0.004110579427083334,0.004110579427083334,0.00798158714657738,0.00798158714657738,0.02847270972842262,0.02847270972842262,0.07403287527901786,0.07403287527901786,True,True,False,False,QPSK,2,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,False,False,False,140000
20.0,0.002417680431547619,0.004813174293154762,0.018193910435267857,0.051675915333581346,0.0,0.0,0.0,0.0,0.002417680431547619,0.002417680431547619,0.004813174293154762,0.004813174293154762,0.018193910435267857,0.018193910435267857,0.051675915333581346,0.051675915333581346,True,True,False,False,QPSK,2,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,False,False,False,140000
22.0,0.0015433407738095239,0.0030794061569940478,0.011882529994419643,0.03563529730902778,0.0,0.0,0.0,0.0,0.0015433407738095239,0.0015433407738095239,0.0030794061569940478,0.0030794061569940478,0.011882529994419643,0.011882529994419643,0.03563529730902778,0.03563529730902778,True,True,False,False,QPSK,2,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,False,False,False,140000
22.5,0.001365415736607143,0.002729366629464286,0.010633526320684523,0.03232224779885913,0.0,0.0,0.0,0.0,0.001365415736607143,0.001365415736607143,0.002729366629464286,0.002729366629464286,0.010633526320684523,0.010633526320684523,0.03232224779885913,0.03232224779885913,True,True,False,False,QPSK,2,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,False,False,False,140000
22.75,0.0013678292410714285,0.0026950172061011904,0.010138460286458333,0.030597901940724207,0.0,0.0,0.0,0.0,0.0013678292410714285,0.0013678292410714285,0.0026950172061011904,0.0026950172061011904,0.010138460286458333,0.010138460286458333,0.030597901940724207,0.030597901940724207,True,True,False,False,QPSK,2,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,False,False,False,140000
23.0,0.0012512044270833332,0.002480947730654762,0.009555690801711309,0.02917837844122024,0.0,0.0,0.0,0.0,0.0012512044270833332,0.0012512044270833332,0.002480947730654762,0.002480947730654762,0.009555690801711309,0.009555690801711309,0.02917837844122024,0.02917837844122024,True,True,True,False,16QAM,4,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,False,False,False,140000
23.5,0.0011339425223214285,0.0022451427641369047,0.008572347005208333,0.026368095858134922,0.0,0.0,0.0,0.0,0.0011339425223214285,0.0011339425223214285,0.0022451427641369047,0.0022451427641369047,0.008572347005208333,0.008572347005208333,0.026368095858134922,0.026368095858134922,True,True,True,False,16QAM,4,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,False,False,False,140000
24.0,0.0010026925223214286,0.0019859072730654763,0.007642466517857143,0.023718138485863096,0.0,0.0,0.0,0.0,0.0010026925223214286,0.0010026925223214286,0.0019859072730654763,0.0019859072730654763,0.007642466517857143,0.007642466517857143,0.023718138485863096,0.023718138485863096,True,True,True,False,16QAM,4,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,False,False,False,140000
26.0,0.0006545805431547619,0.0013029622395833334,0.0049675944010416665,0.015684299820188492,0.0,0.0,0.0,0.0,0.0006545805431547619,0.0006545805431547619,0.0013029622395833334,0.0013029622395833334,0.0049675944010416665,0.0049675944010416665,0.015684299820188492,0.015684299820188492,True,True,True,False,16QAM,4,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,False,False,False,140000
