mode_id,modulation,bits_per_symbol,snr_db,num_blocks,total_bits,bit_errors,ber,block_errors,bler,mean_block_ber,std_block_ber,se_block_ber,z_ab,fixed_budget_reached,is_stable,reliability_uncertain
0,BPSK,1,0.0,140000,215040000,31464630,0.1463198939732143,139233,0.9945214285714286,0.1463198939732143,0.11643411847213435,0.0003111832710384098,0.5438377350331373,True,N/A (deprecated),False
1,QPSK,2,0.0,140000,430080000,90843420,0.21122446986607143,139997,0.9999785714285714,0.21122446986607143,0.11361268336678422,0.0003036426685360979,0.7066037487396337,True,N/A (deprecated),False
2,16QAM,4,0.0,140000,860160000,271582642,0.3157350283668155,140000,1.0,0.31573502836681544,0.08806233725126063,0.0002353564961948267,0.8787202438000836,True,N/A (deprecated),False
3,64QAM,6,0.0,140000,1290240000,482523652,0.37397976500496033,140000,1.0,0.3739797650049602,0.06260999064549956,0.00016733223856041487,0.7794568801162982,True,N/A (deprecated),False
0,BPSK,1,2.0,140000,215040000,23322611,0.10845708240327381,135246,0.9660428571428571,0.10845708240327381,0.1108328502933251,0.00029621325214087874,2.878687587518148,True,N/A (deprecated),False
1,QPSK,2,2.0,140000,430080000,72109353,0.16766497628348215,139908,0.9993428571428571,0.16766497628348215,0.11681733694306627,0.00031220746548306025,2.85710026026255,True,N/A (deprecated),False
2,16QAM,4,2.0,140000,860160000,238891093,0.27772867024739584,140000,1.0,0.2777286702473958,0.09777541362400638,0.00026131578473652926,2.8193672732305313,True,N/A (deprecated),False
3,64QAM,6,2.0,140000,1290240000,445779355,0.34550111219618057,140000,1.0,0.3455011121961806,0.07272973637975721,0.00019437839668817145,2.791780520627096,True,N/A (deprecated),False
0,BPSK,1,4.0,140000,215040000,16595478,0.07717391183035714,124192,0.8870857142857143,0.07717391183035711,0.10122138966717677,0.00027052554310551106,1.0766018690896273,True,N/A (deprecated),False
1,QPSK,2,4.0,140000,430080000,54587047,0.12692300734747025,138704,0.9907428571428571,0.1269230073474702,0.11465864855323747,0.00030643812808338447,0.7693649994058056,True,N/A (deprecated),False
