mode_id,modulation,bits_per_symbol,snr_db,num_blocks,total_bits,bit_errors,ber,block_errors,bler,mean_block_ber,std_block_ber,se_block_ber
0,BPSK,1,0.0,70000,107520000,15714119,0.1461506603422619,69619,0.9945571428571428,0.14615066034226198,0.1163982941815984,0.00043994419919520834
1,QPSK,2,0.0,70000,215040000,45375572,0.2110099144345238,69998,0.9999714285714286,0.21100991443452377,0.11367528661765935,0.0004296521980061647
2,16QAM,4,0.0,70000,430080000,135702375,0.3155282156808036,70000,1.0,0.3155282156808035,0.08818786448460542,0.0003333187972573303
3,64QAM,6,0.0,70000,645120000,241177684,0.37384933655753966,70000,1.0,0.37384933655753966,0.06273722121942907,0.00023712440756264814
0,BPSK,1,2.0,70000,107520000,11752986,0.109309765625,67694,0.9670571428571428,0.10930976562499999,0.11124915764006628,0.0004204822924014809
1,QPSK,2,2.0,70000,215040000,36246489,0.1685569614955357,69969,0.9995571428571428,0.16855696149553573,0.11715770474766424,0.0004428145013392155
2,16QAM,4,2.0,70000,430080000,119762398,0.2784653971354167,70000,1.0,0.2784653971354165,0.09786645313271183,0.0003699004238358766
3,64QAM,6,2.0,70000,645120000,223239751,0.34604376085069444,70000,1.0,0.34604376085069455,0.07270986058505585,0.00027481744138605017
0,BPSK,1,4.0,70000,107520000,8329054,0.07746515997023809,62077,0.8868142857142857,0.07746515997023808,0.10166476174943363,0.0003842566809823332
1,QPSK,2,4.0,70000,215040000,27344222,0.12715877046130952,69381,0.9911571428571428,0.1271587704613095,0.1149641379388922,0.0004345235981103349
2,16QAM,4,4.0,70000,430080000,102058568,0.23730135788690476,70000,1.0,0.2373013578869047,0.10562821156905555,0.0003992371132060524
3,64QAM,6,4.0,70000,645120000,201948310,0.31303991505456347,70000,1.0,0.3130399150545634,0.08290616741044124,0.0003133558587450219
0,BPSK,1,6.0,70000,107520000,5703441,0.05304539620535714,52566,0.7509428571428571,0.05304539620535714,0.08852504810068183,0.00033459323153490697
1,QPSK,2,6.0,70000,215040000,19811956,0.0921314918154762,66697,0.9528142857142857,0.09213149181547618,0.10667602579157318,0.00040319747871030685
2,16QAM,4,6.0,70000,430080000,84316507,0.19604842587425594,70000,1.0,0.196048425874256,0.10934704413314815,0.0004132929791090205
3,64QAM,6,6.0,70000,645120000,179136120,0.2776787574404762,70000,1.0,0.27767875744047615,0.09113951831964995,0.000344475000120013
0,BPSK,1,8.0,70000,107520000,3847845,0.03578724888392857,41377,0.5911,0.03578724888392856,0.0752891091737872,0.00028456608472204653
1,QPSK,2,8.0,70000,215040000,13944028,0.06484388020833333,60208,0.8601142857142857,0.06484388020833333,0.09519009084221258,0.00035978472520877344
2,16QAM,4,8.0,70000,430080000,67473593,0.15688614443824406,69994,0.9999142857142858,0.15688614443824403,0.10962912902560659,0.0004143591597862397
3,64QAM,6,8.0,70000,645120000,155688847,0.241333158172123,70000,1.0,0.241333158172123,0.09698250707399637,0.00036655942177336685
0,BPSK,1,10.0,70000,107520000,2527459,0.02350687313988095,30382,0.43402857142857143,0.023506873139880955,0.06242555682562827,0.00023594642687906154
1,QPSK,2,10.0,70000,215040000,9461237,0.04399756789434524,49903,0.7129,0.04399756789434523,0.0819957125902923,0.00030991466298205885
2,16QAM,4,10.0,70000,430080000,51576768,0.11992366071428572,69862,0.9980285714285714,0.11992366071428567,0.10589209436181025,0.00040023449641304974
3,64QAM,6,10.0,70000,645120000,131360959,0.20362251829117065,70000,1.0,0.20362251829117067,0.10043026909028814,0.00037959073730885635
0,BPSK,1,12.0,70000,107520000,1628512,0.015146130952380953,21121,0.3017285714285714,0.015146130952380953,0.0511548058098834,0.00019334699219821934
1,QPSK,2,12.0,70000,215040000,6236865,0.029003278459821428,38316,0.5473714285714286,0.02900327845982144,0.06875399093117875,0.0002598656594958416
2,16QAM,4,12.0,70000,430080000,37774213,0.0878306663876488,68722,0.9817428571428571,0.0878306663876488,0.09798227509804232,0.0003703381897167669
3,64QAM,6,12.0,70000,645120000,107522779,0.16667097439236112,70000,1.0,0.16667097439236098,0.10070557625501922,0.0003806313005831888
0,BPSK,1,14.0,70000,107520000,1035374,0.009629594494047619,14117,0.20167142857142858,0.009629594494047617,0.041096441415868955,0.00015532994822303487
1,QPSK,2,14.0,70000,215040000,4027573,0.018729413132440476,27768,0.3966857142857143,0.018729413132440476,0.0563435574811282,0.00021295863010819722
2,16QAM,4,14.0,70000,430080000,26624702,0.06190639415922619,64744,0.9249142857142857,0.06190639415922619,0.0870781605901681,0.0003291245107807574
3,64QAM,6,14.0,70000,645120000,85166412,0.13201638764880952,69998,0.9999714285714286,0.13201638764880955,0.0977810429921387,0.00036957760384816294
0,BPSK,1,16.0,70000,107520000,661099,0.006148614211309524,9289,0.1327,0.006148614211309525,0.03269303267271545,0.00012356804865216341
1,QPSK,2,16.0,70000,215040000,2600701,0.012094033668154761,18844,0.2692,0.012094033668154761,0.045685388125004,0.00017267453646889144
