mode_id,modulation,bits_per_symbol,snr_db,num_blocks,total_bits,bit_errors,ber,block_errors,bler,mean_block_ber,std_block_ber,se_block_ber,z_ab,is_stable,reliability_uncertain
0,BPSK,1,0.0,30000,46080000,6746627,0.14641117621527777,29837,0.9945666666666667,0.14641117621527777,0.11694776931529326,0.0006751982609531082,0.22944930100176686,True,False
1,QPSK,2,0.0,30000,92160000,19452151,0.21106934678819445,29999,0.9999666666666667,0.21106934678819442,0.11400245480880042,0.0006581934797213907,0.14568060226239776,True,False
2,16QAM,4,0.0,30000,184320000,58161806,0.3155479926215278,30000,1.0,0.3155479926215278,0.08833405214361903,0.0005099968878372889,0.07150745457584136,True,False
3,64QAM,6,0.0,30000,276480000,103380582,0.3739170355902778,30000,1.0,0.3739170355902778,0.06285697042245833,0.0003629048879385066,0.043971546541846256,True,False
0,BPSK,1,2.0,30000,46080000,5029201,0.10914064670138889,28985,0.9661666666666666,0.10914064670138889,0.11091437782835314,0.0006403644589619955,1.875333196552835,True,False
1,QPSK,2,2.0,30000,92160000,15528859,0.16849890407986112,29982,0.9994,0.1684989040798611,0.11678090040053306,0.0006742348428245464,1.7589192298743799,True,False
2,16QAM,4,2.0,30000,184320000,51320023,0.27842894422743053,30000,1.0,0.2784289442274305,0.09771055242740413,0.0005641321374662882,1.8097193974500296,True,False
3,64QAM,6,2.0,30000,276480000,95665850,0.3460136357060185,30000,1.0,0.3460136357060185,0.07261291702912746,0.00041923087193410704,1.736852622468314,True,False
0,BPSK,1,4.0,30000,46080000,3536337,0.07674342447916667,26704,0.8901333333333333,0.07674342447916666,0.10069990973402111,0.000581391199923081,0.7757547274949576,True,False
1,QPSK,2,4.0,30000,92160000,11675338,0.12668552517361112,29730,0.991,0.12668552517361112,0.11406643573700412,0.0006585628737826048,0.7117383356922713,True,False
2,16QAM,4,4.0,30000,184320000,43711589,0.23715054796006946,30000,1.0,0.2371505479600694,0.10478567456984265,0.0006049803742011518,0.5387346310515866,True,False
3,64QAM,6,4.0,30000,276480000,86556671,0.31306666304976855,30000,1.0,0.3130666630497685,0.08234362805146779,0.0004754111582156535,0.5254053984514305,True,False
0,BPSK,1,6.0,30000,46080000,2489793,0.05403196614583333,22517,0.7505666666666667,0.05403196614583333,0.09004180797633911,0.0005198566207345998,0.14472738157645623,True,False
1,QPSK,2,6.0,30000,92160000,8572791,0.09302073567708333,28545,0.9515,0.09302073567708333,0.10795237907141553,0.0006232633511654228,0.10071221358406673,True,False
2,16QAM,4,6.0,30000,184320000,36225308,0.19653487413194445,30000,1.0,0.19653487413194443,0.11028692008114886,0.0006367418299694604,0.14416420041340788,True,False
3,64QAM,6,6.0,30000,276480000,76860310,0.27799591290509257,30000,1.0,0.2779959129050926,0.09183857521999828,0.000530230261252577,0.26626133272108116,True,False
0,BPSK,1,8.0,30000,46080000,1632965,0.03543760850694445,17685,0.5895,0.03543760850694444,0.07495178009482772,0.00043273430413990423,2.695864857486917,True,False
1,QPSK,2,8.0,30000,92160000,5938157,0.0644331271701389,25769,0.8589666666666667,0.06443312717013888,0.09470944318413252,0.0005468052251715848,2.6122733059608922,True,False
2,16QAM,4,8.0,30000,184320000,28826519,0.1563938747829861,29997,0.9999,0.15639387478298614,0.10935945819356764,0.000631387126264879,2.2653662734193363,True,False
3,64QAM,6,8.0,30000,276480000,66608661,0.2409167426215278,30000,1.0,0.2409167426215278,0.0968650566715138,0.0005592506654436684,2.135164364230538,True,False
0,BPSK,1,10.0,30000,46080000,1085657,0.023560264756944446,12974,0.43246666666666667,0.023560264756944442,0.06281979554718314,0.0003626902586960344,0.5405982955834159,True,False
1,QPSK,2,10.0,30000,92160000,4044600,0.04388671875,21407,0.7135666666666667,0.04388671874999999,0.08231275960639058,0.00047523293916490553,0.27046808026242997,True,False
2,16QAM,4,10.0,30000,184320000,22050941,0.11963401150173611,29932,0.9977333333333334,0.1196340115017361,0.10599201928964491,0.000611945208688285,0.2544871047694512,True,False
3,64QAM,6,10.0,30000,276480000,56206604,0.2032935619212963,30000,1.0,0.20329356192129627,0.10052712538087831,0.0005803936289950935,0.2859356244022325,True,False
0,BPSK,1,12.0,30000,46080000,728017,0.015798980034722222,9017,0.30056666666666665,0.015798980034722222,0.052927933988378535,0.0003055795693584109,0.5081213970559321,True,False
1,QPSK,2,12.0,30000,92160000,2735744,0.029684722222222223,16502,0.5500666666666667,0.029684722222222217,0.07047471015484168,0.00040688592878958697,0.7121272661994005,True,False
2,16QAM,4,12.0,30000,184320000,16318512,0.08853359375,29481,0.9827,0.08853359375,0.0990874812573724,0.0005720818397726596,1.3716969263404861,True,False
3,64QAM,6,12.0,30000,276480000,46262143,0.16732545934606483,30000,1.0,0.1673254593460648,0.10134150060463684,0.0005850954265416771,1.671247983509584,True,False
0,BPSK,1,14.0,30000,46080000,441322,0.009577300347222222,6026,0.20086666666666667,0.00957730034722222,0.040172288374766295,0.00023193481507134594,1.512258391114761,True,True
1,QPSK,2,14.0,30000,92160000,1732441,0.018798187934027776,11846,0.39486666666666664,0.01879818793402778,0.055943509414719816,0.0003229900022000085,1.6783995073179212,True,False
2,16QAM,4,14.0,30000,184320000,11401701,0.06185818684895834,27726,0.9242,0.061858186848958316,0.087124802142783,0.0005030152797022865,1.761714489925063,True,False
3,64QAM,6,14.0,30000,276480000,36431157,0.13176778428819444,30000,1.0,0.1317677842881944,0.09806050007985928,0.0005661525611797608,1.6279450338313277,True,False
0,BPSK,1,16.0,30000,46080000,294535,0.0063918185763888885,4010,0.13366666666666666,0.0063918185763888885,0.03383100414565829,0.0001953233935045116,0.3711961840880635,True,False
1,QPSK,2,16.0,30000,92160000,1146075,0.012435709635416667,8169,0.2723,0.012435709635416665,0.04675490373354028,0.00026993956256494517,0.3166250903306531,True,False
2,16QAM,4,16.0,30000,184320000,7856073,0.042621923828125,24147,0.8049,0.042621923828125005,0.07626776762567618,0.0004403321616917597,0.24359532991902202,True,False
3,64QAM,6,16.0,30000,276480000,27818255,0.10061579499421296,29960,0.9986666666666667,0.10061579499421294,0.09345286725433913,0.0005395503806583506,0.34460387529641573,True,False
0,BPSK,1,16.5,30000,46080000,263529,0.0057189453125,3547,0.11823333333333333,0.005718945312499999,0.03245796305678529,0.00018739613708181917,0.10503330314942949,True,False
1,QPSK,2,16.5,30000,92160000,1014860,0.011011935763888888,7254,0.2418,0.011011935763888888,0.04460845645577732,0.00025754704342876737,0.5567958642582865,True,False
2,16QAM,4,16.5,30000,184320000,7007841,0.038019970703125,23165,0.7721666666666667,0.038019970703124996,0.07281995753573459,0.0004204262208563348,1.006427109352366,True,False
3,64QAM,6,16.5,30000,276480000,25669366,0.09284348234953704,29933,0.9977666666666667,0.09284348234953703,0.09100661487441229,0.0005254269359577854,1.6015970688351602,True,False
0,BPSK,1,17.0,30000,46080000,217070,0.004710720486111111,3287,0.10956666666666667,0.0047107204861111095,0.02836625928166824,0.0001637726743217388,0.13701228988392386,True,False
1,QPSK,2,17.0,30000,92160000,879657,0.009544889322916666,6798,0.2266,0.009544889322916668,0.040063974924067575,0.0002313094670721683,0.6210332621003186,True,True
2,16QAM,4,17.0,30000,184320000,6432216,0.03489700520833333,21962,0.7320666666666666,0.03489700520833333,0.06883801127271379,0.000397436443387798,1.506103357595625,True,False
3,64QAM,6,17.0,30000,276480000,24067278,0.08704889322916666,29862,0.9954,0.08704889322916665,0.08895201987539146,0.000513564726200182,0.9916303156827464,True,False
0,BPSK,1,17.5,30000,46080000,213031,0.004623068576388889,2970,0.099,0.004623068576388889,0.02900172389274407,0.0001674415309643899,0.43611753638880607,True,False
1,QPSK,2,17.5,30000,92160000,833785,0.009047146267361111,6062,0.20206666666666667,0.009047146267361111,0.040159842894739096,0.000231862961058907,0.38069530766695786,True,True
2,16QAM,4,17.5,30000,184320000,5849734,0.03173683810763889,20701,0.6900333333333334,0.03173683810763889,0.06750843144106781,0.000389760110650699,0.5422776329045046,True,False
3,64QAM,6,17.5,30000,276480000,22195049,0.08027723162615741,29755,0.9918333333333333,0.08027723162615741,0.08789551894442142,0.0005074650152312356,1.1407507026585137,True,False
0,BPSK,1,18.0,30000,46080000,192644,0.0041806423611111115,2639,0.08796666666666667,0.0041806423611111115,0.027969942817088995,0.00016148454014664772,0.17120599974778683,True,False
1,QPSK,2,18.0,30000,92160000,741558,0.008046419270833334,5462,0.18206666666666665,0.00804641927083333,0.038458156637072013,0.0002220382708695032,0.5804545483128624,True,False
2,16QAM,4,18.0,30000,184320000,5254780,0.028509006076388888,19632,0.6544,0.028509006076388885,0.06443446019613602,0.0003720125293932736,0.546185173274833,True,False
3,64QAM,6,18.0,30000,276480000,20477845,0.07406627965856481,29592,0.9864,0.0740662796585648,0.0854423878196768,0.000493301856078948,0.2985332494771397,True,False
0,BPSK,1,20.0,40000,61440000,143748,0.0023396484375,2124,0.0531,0.0023396484374999995,0.020661880971517343,0.00010330940485758672,0.2640449691036571,True,False
1,QPSK,2,20.0,40000,122880000,572582,0.004659684244791667,4685,0.117125,0.004659684244791665,0.028795226331817962,0.0001439761316590898,0.2605698492020802,True,False
2,16QAM,4,20.0,40000,245760000,4386820,0.017850016276041665,19410,0.48525,0.017850016276041665,0.05119416736815054,0.0002559708368407527,0.25567443435484144,True,False
3,64QAM,6,20.0,40000,368640000,18846407,0.05112415093315972,37500,0.9375,0.051124150933159716,0.07391042227787246,0.00036955211138936235,0.06783212475870284,True,False
0,BPSK,1,22.0,60000,92160000,135517,0.0014704535590277779,2127,0.03545,0.001470453559027778,0.01621004414225352,6.617722809418757e-05,0.9052448346044037,True,False
1,QPSK,2,22.0,60000,184320000,549726,0.0029824544270833334,4630,0.07716666666666666,0.002982454427083333,0.0228612281473341,9.333057309053492e-05,0.8223109766561995,True,False
2,16QAM,4,22.0,60000,368640000,4353978,0.011810921223958333,20853,0.34755,0.011810921223958335,0.04194970680175483,0.00017125896087276697,0.1838646081761007,True,False
3,64QAM,6,22.0,60000,552960000,19718699,0.03566026294849537,49915,0.8319166666666666,0.03566026294849537,0.06411859926909268,0.0002617630853854458,0.5354437018092398,True,False
0,BPSK,1,22.5,70000,107520000,144256,0.0013416666666666666,2221,0.031728571428571425,0.0013416666666666668,0.015454365108624253,5.841200963973354e-05,0.9738137726511283,True,False
1,QPSK,2,22.5,70000,215040000,584935,0.002720121837797619,4826,0.06894285714285714,0.0027201218377976184,0.021858354451039244,8.261681420935944e-05,1.1148893319563804,True,False
2,16QAM,4,22.5,70000,430080000,4606730,0.010711332775297618,22027,0.31467142857142855,0.010711332775297617,0.04014837676020448,0.00015174660064346592,1.5117392200848014,True,True
3,64QAM,6,22.5,70000,645120000,20942019,0.03246220703125,55826,0.7975142857142857,0.032462207031249996,0.06190732734498394,0.00023398770355356576,1.951060726767318,True,False
0,BPSK,1,23.0,70000,107520000,136982,0.001274014136904762,2032,0.029028571428571428,0.0012740141369047618,0.015294627796898493,5.780825935127017e-05,0.3658546885633149,True,False
1,QPSK,2,23.0,70000,215040000,545929,0.0025387323288690476,4328,0.06182857142857143,0.0025387323288690476,0.021440276439089398,8.103662785472574e-05,0.8406330432181038,True,False
