mode_id,modulation,bits_per_symbol,snr_db,num_blocks,total_bits,bit_errors,ber,block_errors,bler,mean_block_ber,std_block_ber,se_block_ber
0,BPSK,1,0.0,15000,23040000,3369744,0.14625625,14918,0.9945333333333334,0.14625624999999998,0.1163945786467058,0.0009503577550355859
1,QPSK,2,0.0,15000,46080000,9721657,0.21097345920138888,14999,0.9999333333333333,0.21097345920138888,0.1135517672882397,0.0009271462974914851
2,16QAM,4,0.0,15000,92160000,29077542,0.3155115234375,15000,1.0,0.31551152343749994,0.08809483833406326,0.0007192913429714342
3,64QAM,6,0.0,15000,138240000,51692497,0.3739329933449074,15000,1.0,0.37393299334490737,0.06268191108892927,0.0005117956609012647
0,BPSK,1,2.0,15000,23040000,2542268,0.11034149305555556,14500,0.9666666666666667,0.11034149305555555,0.11165328424474161,0.0009116452483518306
1,QPSK,2,2.0,15000,46080000,7819075,0.1696847873263889,14995,0.9996666666666667,0.16968478732638886,0.11730519294949787,0.000957792889683322
2,16QAM,4,2.0,15000,92160000,25754096,0.2794498263888889,15000,1.0,0.2794498263888888,0.09785105163151975,0.0007989504909731826
3,64QAM,6,2.0,15000,138240000,47933580,0.34674175347222225,15000,1.0,0.3467417534722222,0.0725756870277984,0.0005925780031667811
0,BPSK,1,4.0,15000,23040000,1757777,0.07629240451388888,13351,0.8900666666666667,0.07629240451388888,0.10038954808948382,0.0008196772277594307
1,QPSK,2,4.0,15000,46080000,5816070,0.126216796875,14868,0.9912,0.12621679687500004,0.11378347766793648,0.000929038204819364
2,16QAM,4,4.0,15000,92160000,21825757,0.23682462022569445,15000,1.0,0.23682462022569442,0.10453161648658527,0.0008534970746014518
3,64QAM,6,4.0,15000,138240000,43243805,0.31281687644675926,15000,1.0,0.31281687644675915,0.08210493229241408,0.0006703839649405854
0,BPSK,1,6.0,15000,23040000,1246630,0.05410720486111111,11214,0.7476,0.05410720486111112,0.08997197240981611,0.0007346180785193855
1,QPSK,2,6.0,15000,46080000,4289288,0.09308350694444445,14262,0.9508,0.09308350694444445,0.108147293434362,0.0008830189532574408
2,16QAM,4,6.0,15000,92160000,18104194,0.19644307725694443,15000,1.0,0.19644307725694443,0.11061633947016178,0.0009031786297212775
3,64QAM,6,6.0,15000,138240000,38410638,0.2778547309027778,15000,1.0,0.2778547309027778,0.09211985817931695,0.000752155492389593
0,BPSK,1,8.0,15000,23040000,843358,0.03660407986111111,8873,0.5915333333333334,0.0366040798611111,0.07659502852256028,0.0006253957890473212
1,QPSK,2,8.0,15000,46080000,3034893,0.06586139322916666,12924,0.8616,0.06586139322916666,0.09626980787566856,0.0007860396897705245
2,16QAM,4,8.0,15000,92160000,14545069,0.1578240993923611,14998,0.9998666666666667,0.15782409939236114,0.11042873663038974,0.0009016468589488156
3,64QAM,6,8.0,15000,138240000,33469392,0.24211076388888889,15000,1.0,0.2421107638888889,0.09754640172346206,0.0007964630348900921
0,BPSK,1,10.0,15000,23040000,547346,0.023756336805555556,6510,0.434,0.023756336805555556,0.06375893910318381,0.0005205895578132867
1,QPSK,2,10.0,15000,46080000,2028223,0.04401525607638889,10707,0.7138,0.044015256076388884,0.08298241508337384,0.000677548581927001
2,16QAM,4,10.0,15000,92160000,11039823,0.11978974609375,14965,0.9976666666666667,0.11978974609374998,0.10618589445075441,0.0008670041976179337
3,64QAM,6,10.0,15000,138240000,28126244,0.20345951967592593,15000,1.0,0.2034595196759259,0.10056383359260575,0.0008211002629334739
0,BPSK,1,12.0,15000,23040000,360431,0.015643706597222223,4442,0.29613333333333336,0.015643706597222223,0.052779210507900125,0.0004309404492376516
1,QPSK,2,12.0,15000,46080000,1354520,0.02939496527777778,8150,0.5433333333333333,0.029394965277777775,0.07027612135744414,0.0005738021280921508
2,16QAM,4,12.0,15000,92160000,8086937,0.08774888237847223,14734,0.9822666666666666,0.08774888237847224,0.09890537606710005,0.0008075590139415813
3,64QAM,6,12.0,15000,138240000,22995899,0.1663476490162037,15000,1.0,0.16634764901620366,0.10133818013695911,0.0008274227759926511
0,BPSK,1,14.0,15000,23040000,212580,0.0092265625,2982,0.1988,0.009226562499999999,0.03942422263869203,0.00032189742990225493
1,QPSK,2,14.0,15000,46080000,841241,0.018256098090277777,5841,0.3894,0.01825609809027778,0.05495872380689041,0.0004487361008047724
2,16QAM,4,14.0,15000,92160000,5619184,0.060972048611111114,13855,0.9236666666666666,0.06097204861111111,0.08617203882108843,0.0007035917506898997
3,64QAM,6,14.0,15000,138240000,18088171,0.13084614438657408,15000,1.0,0.13084614438657405,0.09733542654776722,0.0007947404297939375
0,BPSK,1,16.0,15000,23040000,145597,0.006319314236111111,2004,0.1336,0.00631931423611111,0.033513550250557515,0.0002736369919432975
1,QPSK,2,16.0,15000,46080000,569099,0.012350238715277777,4067,0.27113333333333334,0.012350238715277776,0.04643186769940371,0.0003791146122265165
2,16QAM,4,16.0,15000,92160000,3918151,0.042514659288194444,12044,0.8029333333333334,0.04251465928819445,0.07603851157143923,0.0006208518471691346
3,64QAM,6,16.0,15000,138240000,13883424,0.10042986111111112,14977,0.9984666666666666,0.1004298611111111,0.09331212926521036,0.0007618903450413026
0,BPSK,1,16.5,15000,23040000,131311,0.0056992621527777775,1742,0.11613333333333334,0.005699262152777778,0.032843864516433015,0.0002681690308212102
1,QPSK,2,16.5,15000,46080000,500822,0.010868532986111111,3605,0.24033333333333334,0.01086853298611111,0.044653694001046185,0.00036459588477647117
2,16QAM,4,16.5,15000,92160000,3464925,0.03759684244791667,11509,0.7672666666666667,0.03759684244791667,0.07258559539613307,0.0005926589046554594
3,64QAM,6,16.5,15000,138240000,12718354,0.09200198206018519,14970,0.998,0.09200198206018517,0.09079405901056554,0.0007413303875067696
0,BPSK,1,17.0,15000,23040000,109052,0.004733159722222222,1567,0.10446666666666667,0.00473315972222222,0.028795855652066663,0.00023511717684800764
1,QPSK,2,17.0,15000,46080000,433209,0.009401236979166666,3352,0.22346666666666667,0.009401236979166668,0.04029854772160936,0.0003290362643104684
