mode_id,modulation,bits_per_symbol,snr_db,num_blocks,total_bits,bit_errors,ber,block_errors,bler,mean_block_ber,std_block_ber,se_block_ber
0,BPSK,1,16.75,70000,107520000,554832,0.005160267857142857,7928,0.11325714285714286,0.005160267857142856,0.030409371848417664,0.00011493662205228811
1,QPSK,2,16.75,70000,215040000,2183288,0.010152938988095238,16349,0.23355714285714285,0.010152938988095233,0.04217465140766498,0.00015940519893645956
2,16QAM,4,16.75,70000,430080000,15573781,0.03621135835193452,52710,0.753,0.03621135835193452,0.07061150665190385,0.0002668864090007438
3,64QAM,6,16.75,70000,645120000,57793730,0.08958601500496031,69757,0.9965285714285714,0.08958601500496033,0.0897900133877895,0.00033937435091607314
0,BPSK,1,22.75,70000,107520000,148674,0.0013827566964285715,2128,0.0304,0.0013827566964285712,0.015656789553947153,5.917710212774009e-05
1,QPSK,2,22.75,70000,215040000,589237,0.002740127418154762,4577,0.06538571428571428,0.0027401274181547614,0.022265134602167287,8.415429866387668e-05
2,16QAM,4,22.75,70000,430080000,4416377,0.010268733723958333,21004,0.30005714285714286,0.010268733723958331,0.040079257614083735,0.00015148535482708216
3,64QAM,6,22.75,70000,645120000,19908558,0.03086023995535714,54287,0.7755285714285715,0.030860239955357138,0.06113607029932033,0.00023107262592537677
0,BPSK,1,28.25,70000,107520000,41935,0.0003900204613095238,601,0.008585714285714285,0.00039002046130952377,0.008304583283644598,3.138837444363968e-05
1,QPSK,2,28.25,70000,215040000,167879,0.0007806873139880953,1324,0.018914285714285713,0.0007806873139880951,0.01186015266475966,4.482716351744866e-05
2,16QAM,4,28.25,70000,430080000,1287026,0.0029925269717261905,6786,0.09694285714285714,0.0029925269717261905,0.021938346088604795,8.291915418073552e-05
3,64QAM,6,28.25,70000,645120000,6235231,0.009665226624503968,24341,0.34772857142857144,0.009665226624503967,0.03587469681868996,0.0001355936087744195
