profile,requested_blocks_per_seed,snr_db,checkpoint_idx,blocks_per_seed,pooled_blocks,mode_id,modulation,pooled_ber,pooled_se,ci95_low,ci95_high,overlaps_ber_target,z_ab
deep,70000,16.75,1,5000,10000,0,BPSK,0.005282356770833333,0.00030513726620946856,0.004684287729062775,0.005880425812603891,False,1.6462151606981985
deep,70000,16.75,1,5000,10000,1,QPSK,0.010312044270833333,0.0004249298153744932,0.009479181832699326,0.01114490670896734,True,1.4384271653725498
deep,70000,16.75,1,5000,10000,2,16QAM,0.03590109049479167,0.0007106396650832087,0.03450823675122858,0.03729394423835476,False,1.4808139530532163
deep,70000,16.75,1,5000,10000,3,64QAM,0.08881389973958333,0.0008993404115509096,0.08705119253294355,0.0905766069462231,False,1.245606248667112
deep,70000,16.75,2,10000,20000,0,BPSK,0.0053096354166666665,0.00021594992773717422,0.004886373558301805,0.005732897275031528,False,0.12209560976816196
deep,70000,16.75,2,10000,20000,1,QPSK,0.010381868489583333,0.00030061528023771553,0.009792662540317411,0.010971074438849255,True,0.19133473778700533
deep,70000,16.75,2,10000,20000,2,16QAM,0.036094173177083334,0.0005037192829854989,0.03510688338243176,0.03708146297173491,False,0.2886663834843171
deep,70000,16.75,2,10000,20000,3,64QAM,0.08905540364583334,0.0006378556993945575,0.08780520647502,0.09030560081664667,False,0.17349307875954068
deep,70000,16.75,3,15000,30000,0,BPSK,0.005393315972222222,0.00017823896012528299,0.0050439676103766675,0.005742664334067777,False,0.04870097542454916
deep,70000,16.75,3,15000,30000,1,QPSK,0.010508333333333333,0.0002477189935096275,0.010022804106054464,0.010993862560612203,False,0.238631900280803
deep,70000,16.75,3,15000,30000,2,16QAM,0.036422509765625,0.0004134212223771285,0.03561220416976583,0.03723281536148417,False,0.010012720001319699
deep,70000,16.75,3,15000,30000,3,64QAM,0.08947366536458333,0.0005229707858931962,0.08844864262423266,0.090498688104934,False,0.30190226183480007
deep,70000,16.75,4,20000,40000,0,BPSK,0.0052805826822916666,0.00015315234740974598,0.004980404081368565,0.0055807612832147685,False,0.3535681904977084
deep,70000,16.75,4,20000,40000,1,QPSK,0.010312744140625,0.00021250326328867326,0.0098962377445792,0.010729250536670799,True,0.04710346853847863
deep,70000,16.75,4,20000,40000,2,16QAM,0.03612964680989583,0.0003552959956163945,0.0354332666584877,0.036826026961303965,False,0.32868171412535385
deep,70000,16.75,4,20000,40000,3,64QAM,0.08921807725694444,0.00045058500776623864,0.08833493064172261,0.09010122387216628,False,0.9001345774481699
deep,70000,16.75,5,25000,50000,0,BPSK,0.0052646875,0.00013639546845372347,0.0049973523818307025,0.005532022618169298,False,0.05135902639361284
deep,70000,16.75,5,25000,50000,1,QPSK,0.01031673828125,0.00018986615773835153,0.00994460061208283,0.010688875950417169,True,0.3187866689625201
deep,70000,16.75,5,25000,50000,2,16QAM,0.03625137044270833,0.0003177076323883918,0.03562866348322709,0.03687407740218958,False,0.015153570451329272
deep,70000,16.75,5,25000,50000,3,64QAM,0.08941845052083333,0.0004031705415466702,0.08862823625940186,0.0902086647822648,False,0.63780099308967
deep,70000,16.75,6,30000,60000,0,BPSK,0.005254839409722222,0.00012458901796550157,0.005010644934509839,0.005499033884934605,False,0.6202653400766832
deep,70000,16.75,6,30000,60000,1,QPSK,0.010312109375,0.00017319663668917558,0.009972643967089216,0.010651574782910784,True,0.9385522445185593
deep,70000,16.75,6,30000,60000,2,16QAM,0.03636180013020833,0.0002900498253063354,0.03579330247260791,0.03693029778780875,False,0.8564945608599469
deep,70000,16.75,6,30000,60000,3,64QAM,0.08963634982638889,0.0003681182940975774,0.08891483796995764,0.09035786168282015,False,0.3212282198226705
deep,70000,16.75,7,35000,70000,0,BPSK,0.005225213913690476,0.00011538737473734711,0.004999054659205276,0.005451373168175676,False,1.402264091480882
deep,70000,16.75,7,35000,70000,1,QPSK,0.010245903087797619,0.00016004050121225973,0.00993222370542159,0.010559582470173648,True,1.6107352942546642
deep,70000,16.75,7,35000,70000,2,16QAM,0.03623544689360119,0.00026781843692742785,0.03571052275722343,0.03676037102997895,False,1.4020265013394908
deep,70000,16.75,7,35000,70000,3,64QAM,0.0894776615203373,0.00034019251929561076,0.08881088418251791,0.09014443885815669,False,0.7213745199889906
deep,70000,16.75,8,40000,80000,0,BPSK,0.0052364501953125,0.00010866760700004616,0.005023461685592409,0.0054494387050325905,False,1.283379940712356
deep,70000,16.75,8,40000,80000,1,QPSK,0.010245804850260417,0.000150103315605804,0.00995160235167304,0.010540007348847793,True,1.530615512298268
deep,70000,16.75,8,40000,80000,2,16QAM,0.03623234456380208,0.0002505291775846663,0.03574130737573614,0.036723381751868026,False,1.2380411086829213
deep,70000,16.75,8,40000,80000,3,64QAM,0.089511962890625,0.00031809665172166077,0.08888849345325055,0.09013543232799946,False,0.476293961556054
deep,70000,16.75,9,45000,90000,0,BPSK,0.0052083043981481485,0.00010208587806620058,0.005008216077138396,0.005408392719157901,False,1.0147141013585645
deep,70000,16.75,9,45000,90000,1,QPSK,0.010223491753472222,0.00014116067350837996,0.009946816833395798,0.010500166673548646,True,1.1786660362513128
deep,70000,16.75,9,45000,90000,2,16QAM,0.036251658347800926,0.00023601487563559598,0.03578906919155516,0.03671424750404669,False,0.8819530523410156
deep,70000,16.75,9,45000,90000,3,64QAM,0.08949065031828704,0.00029996444889146046,0.08890271999845978,0.0900785806381143,False,0.3515502044019936
deep,70000,16.75,10,50000,100000,0,BPSK,0.00520033203125,9.67091321218422e-05,0.005010782132291189,0.005389881930208811,False,0.54373820828652
deep,70000,16.75,10,50000,100000,1,QPSK,0.010213033854166666,0.00013378976786245295,0.009950805909156259,0.010475261799177073,True,0.5976591616734112
deep,70000,16.75,10,50000,100000,2,16QAM,0.03622600260416667,0.00022380607695373272,0.03578734269333735,0.036664662514995984,False,0.2590266340491589
deep,70000,16.75,10,50000,100000,3,64QAM,0.08945625108506944,0.00028452035684612033,0.08889859118565105,0.09001391098448783,False,0.22894553503521545
deep,70000,16.75,11,55000,110000,0,BPSK,0.005232179214015151,9.277667184202443e-05,0.005050336937204783,0.005414021490825519,False,0.6679814103071928
deep,70000,16.75,11,55000,110000,1,QPSK,0.010237482244318181,0.00012807744490672668,0.009986450452300996,0.010488514036335366,True,0.7791126192500025
